k_Mpc^-1,P_Mpc^3,Delta2
0.0003353696591231912,24572.404925928953,4.695579854398656e-08
0.00033945249658161,24852.443799086523,4.9246614592424876e-08
0.00034358503907821125,25135.494921957415,5.164882364090008e-08
0.0003477678917291293,25421.58554393577,5.41678178687488e-08
0.00035200166701726754,25710.743056922434,5.6809248967520825e-08
0.0003562869848819828,26002.994993968518,5.957904054185404e-08
0.0003606244728098603,26298.369027865712,6.24834010978581e-08
0.00036501476592659655,26596.892969659064,6.552883764650346e-08
0.0003694585070899967,26898.594616438408,6.872216956595317e-08
0.0003739563469841075,27203.50137977437,7.207054247155933e-08
0.0003785089442144951,27511.640665087503,7.558144462931134e-08
0.0003831169654046822,27823.039973611685,7.92627235213041e-08
0.0003877810852937615,28137.726899703728,8.312260293121646e-08
0.00039250198683519187,28455.729128077674,8.716970083401726e-08
0.00039728036129680646,28777.074430963137,9.141304812729397e-08
0.0004021169083620287,29101.790665187284,9.586210824329262e-08
0.0004070123362323272,29429.905769179222,1.0052679768256493e-07
0.0004119673617309147,29761.44775989527,1.0541750751197229e-07
0.00041698271040771045,30096.444729665356,1.1054512587176256e-07
0.0004220591166455817,30434.92484295916,1.1592106153847205e-07
0.000427197323767875,30776.916333070352,1.215572685925301e-07
0.00043239808414726036,31122.447498719528,1.2746627224169116e-07
0.0004376621593158987,31471.5467005736,1.336611958537264e-07
0.0004429903200769501,31824.242357681735,1.4015578925425325e-07
0.0004483833466174425,32180.562943826568,1.4696445834811914e-07
0.00045384202862250886,32540.536983789247,1.5410229612539764e-07
0.0004593671653910209,32904.19304952423,1.6158511511583162e-07
0.00046495956595262724,33271.559529652426,1.694294802045765e-07
0.00047062004918621694,33642.664000600926,1.776527406738788e-07
0.0004763494439398273,34017.533830901135,1.8627306990009043e-07
0.0004821485891520072,34396.19636232965,1.953095050281093e-07
0.0004880183339746616,34778.67890419613,2.0478198756024445e-07
0.0004939595378973908,35165.00872751964,2.147114058258736e-07
0.0004999730708733415,35555.21305909037,2.2511963941756528e-07
0.0005060598134465951,35949.319075419175,2.360296056831959e-07
0.0005122206568810968,36347.35389657158,2.4746530836752776e-07
0.000518456503291168,36749.344579886914,2.5945188850094823e-07
0.0005247682657735953,37155.31811358139,2.7201567763733725e-07
0.0005311568685413341,37565.30141023479,2.851842535476322e-07
0.0005376232470588391,37979.32130016017,2.989864984803487e-07
0.0005441683481790398,38397.40452465516,3.134526601052504e-07
0.0005507931302819888,38819.577729136654,3.286144152615505e-07
0.0005574985634151906,39245.867456154636,3.4450493663731236e-07
0.000564285629435645,39676.300138288374,3.6115896251242294e-07
0.0005711553221536173,40110.902090922275,3.786128697032671e-07
0.0005781086474781585,40549.699504902055,3.9690474985336847e-07
0.0005851466235643995,40992.71807592205,4.160744855346675e-07
0.0005922702809626336,41439.981875421174,4.361638212030076e-07
0.0005994806627692192,41891.51437599842,4.5721645879408145e-07
0.0006067788247793162,42347.33879681863,4.792781517908837e-07
0.0006141658356414834,42807.478093354046,5.023968000525884e-07
0.000621642777014159,43271.954946978374,5.266225489431368e-07
0.0006292107437240418,43740.79175441407,5.520078929498818e-07
0.0006368708439264057,44214.01061703352,5.786077839908722e-07
0.0006446241992673627,44691.63333001356,6.064797446178046e-07
0.0006524719450481019,45173.681371345505,6.356839863306163e-07
0.0006604152303911312,45660.17589069946,6.662835332288798e-07
0.0006684552184085354,46151.13769814477,6.983443512347855e-07
0.0006765930863722905,46646.58725272704,7.319354831325609e-07
0.0006848300258866473,47146.54465090307,7.6712918967954e-07
0.0006931672430626137,47651.029614832674,8.040010970549516e-07
0.000701605958694566,48160.06148053156,8.426303509238804e-07
0.0007101474084389978,48673.65918588352,8.830997774054325e-07
0.0007187928429954642,49191.84125851409,9.254960512466048e-07
0.0007275435282897097,49714.62580352813,9.699098715158513e-07
0.000736400745659038,50242.03004182845,1.016436136054435e-06
0.0007453657920399333,50774.06874817109,1.0651740990205718e-06
0.0007544399801579668,51310.75558893813,1.1162275926650832e-06
