k_Mpc^-1,P_Mpc^3,Delta2
0.0027206952011114855,249592.96622042425,0.00025464917472807117
0.002753817327630267,250751.51337756158,0.00026528897797847286
0.0027873426875816916,251896.84951182638,0.00027635294219761485
0.002821276189986361,253028.66304000554,0.00028785699721212566
0.002855622803627967,254146.6428737323,0.00029981762553088254
0.002890387557780892,255250.47854093273,0.00031225187946550047
0.0029255755429466027,256339.8601341796,0.0003251773984697738
0.0029611919115990473,257414.46632653067,0.0003386124111795429
0.0029972418789391284,258473.95636334186,0.00035257573979189814
0.003033730723658319,259517.98819931786,0.00036708683909492893
0.0030706637887116467,260546.22049757445,0.00038216581735778346
0.0031080464821000124,261558.31278023735,0.00039783345537755614
0.003145884277662083,262553.92558087775,0.0004141112259503607
0.00318418271587582,263532.72059871024,0.00043102131377003173
0.0032229474046697217,264494.3608544803,0.0004485866357576099
0.00326218402024402,265438.51084797655,0.0004668308618245529
0.0033018983079017954,266364.8367170659,0.0004857784360721121
0.00334209608289026,267273.00639820023,0.0005054545984291743
0.003382783231252264,268162.68978829164,0.0005258854067303392
0.00342396571068817,269033.55890787556,0.0005470977592356884
0.003465649551428233,269885.2880654786,0.0005691194175932923
0.00350784085711557,270717.5540230893,0.0005919790302450028
0.003550545805699912,271530.03616265167,0.0006157061562757252
0.0035937706503422224,272322.4166534766,0.0006403312897057762
0.00363752172033032,273094.3806204735,0.0006658858842254774
0.003681805422005681,273845.6161257502,0.0006924023778968971
0.0037266282397014593,274575.7978893785,0.0007199141755532455
0.003771996736692019,275284.57438872947,0.0007484556312431549
0.0038179175561539364,275971.59424727445,0.000778062133100623
0.003864397422138754,276636.5094468646,0.0008087701355807854
0.003911443140557581,277278.9755395556,0.0008406171846653376
0.003959061600177618,277898.651860607,0.0008736419433444661
0.00400725977363092,278495.2017425368,0.0009078842173621477
0.0040560447184353225,279068.29273006413,0.0009433849812102791
0.004105423578027884,279617.59679580753,0.000980186404356393
0.004155403582810886,280142.79055657185,0.0010183318776883442
0.004205992051210514,280643.5554900745,0.0010578660401582849
0.004257196390748538,281119.5781519435,0.0010988348056071944
0.004309024099126922,281570.55039282667,0.0011412853897497432
0.004361482765325709,281996.16957544186,0.001185266337298319
0.0044145800707142725,282396.13879139995,0.0012308275492035712
0.004468323790176028,282770.16707762505,0.0012780203099875048
0.004522721793246945,283117.96963219135,0.001326897315143976
0.004577782045267817,283439.2680294057,0.0013775126985797928
0.0046335126085506224,283733.7905489233,0.0014299220606478929
0.00468992164355906,284001.2855091832,0.0014841825642581583
0.004747017410103457,284241.53365111316,0.0015403530410215424
0.004804808268550251,284454.32591498794,0.0015984939188984284
0.004863302681046144,284639.46075252275,0.0016586672385094287
0.004922509212757205,284796.74429221207,0.0017209366833615858
0.004982436533123046,284925.9905020008,0.001785367610082123
0.005043093417126249,285027.0213491392,0.001852027078629546
0.0051044887465772895,285099.666957056,0.0019209838824504003
0.005166631511415021,285143.76575910824,0.0019923085785484808
0.005229530811023115,285159.1646490458,0.0020660735174320394
0.005293195855562397,285145.7191280407,0.002142352872902571
0.005357635967319491,285103.29344812845,0.0022212226716476925
0.0054228605820718714,285031.7607519155,0.0023027608225988055
0.005488879250469458,284931.00320839183,0.0023870471460124974
0.005555701639433166,284800.9121447154,0.00247416340223358
0.005623337533570346,284641.3881738052,0.002564193320095207
0.005691796836607534,284452.341317616,0.0026572226249107164
0.005761089572840654,284233.6911259336,0.0027533390660095516
0.005831225888602776,283985.3659771729,0.002852632435597614
0.005902216053749902,283707.1783065487,0.002955193292915295
0.005974070463164681,283398.69079977844,0.0030611113015510502
0.0060467996382785345,283059.44576702005,0.003170477286352878
0.006120414228612271,282688.99808209407,0.0032833835189348052
0.00619492501333546,282286.9157302089,0.0033999236857434564
0.006270342902844816,281852.78035630065,0.0035201928523187153
0.006346678940361744,281386.18781321734,0.0036442874235954586
0.006423944303549384,280886.74870896357,0.0037723051000930594
0.0065021503061493255,280354.08895219094,0.0039043448298386866
0.006581308399638229,279787.8502951106,0.00404050675587076
0.006661430174904677,279187.69087298476,0.00418089215916949
0.006742527363946311,278553.28573931975,0.004325603396861678
0.006824611841587813,277884.327395887,0.004474743835549409
0.006907695627219625,277180.52631667565,0.004628417779612843
0.006991790886557943,276441.61146486044,0.004786730394340591
0.007076909933426129,275667.3308018603,0.004949787623743454
0.007163065231557718,274857.4517875551,0.005117696102910622
0.0072502693964215425,274011.76187070645,0.005290563064771992
0.007338535197068899,273130.06872689625,0.005468496236293745
0.007427875558003312,272212.1485152912,0.005651602648769561
0.007518303561073066,271257.6822171625,0.005839986945274611
0.0076098324473866516,270266.35925103904,0.006033753088301436
0.007702475619251732,269237.89429359033,0.006233004510565235
0.0077962466421375234,268172.0279460252,0.00643784394641432
0.007891159246661172,267068.5273856113,0.006648373255419016
0.007987227330598326,265927.18700076005,0.006864693238077262
0.00808446496091805,264747.82900807104,0.007086903443590989
0.008182886375842732,263530.30404972995,0.007315101969686695
0.008282505986932852,262274.4917696654,0.0075493852544713845
0.00838333838119726,260980.30136684646,0.007789847860336944
0.008485398323229112,259647.67212411488,0.00803658224994662
0.008588700757367788,258276.57391095237,0.00828967855436073
0.008693260809887195,256867.00765859737,0.008549224333383329
0.008799093791210568,255419.00580592462,0.008815304328235657
0.008906215198152457,253932.63271453997,0.009088000206691238
0.00901464071618777,252407.9850515466,0.009367390300832416
0.0091243862217486,250845.19213847956,0.009653549337620141
0.009235467784549001,249244.4162884945,0.009946548163437726
0.009347901669937915,247605.86067931494,0.010246453775494975
0.009461704341281007,245929.78018108138,0.010553329544985921
